exposure,path,subtype,key
nature,ocs_0-30cm_mean_1000.tif,organic_carbon,ocs_0-30cm_mean_1000
nature,flii_earth.tif,forest_landscape_integrity,flii_earth
nature,lbii.tif,biodiversity_intactness,lbii
