ref,sector,subsector,asset_type,spatial_type,layer
transport_roads_edges,transport,road,motorway,line,roads_edges_motorway
transport_roads_edges,transport,road,trunk,line,roads_edges_trunk
transport_roads_edges,transport,road,primary,line,roads_edges_primary
