hazard,path,rp,rcp,epoch,gcm,key
coastal,hazards/floodmaps/inuncoast_rcp8p5_wtsub_2030_rp0005_0.tif,5,8.5,2030,None,coastal__rp_5__rcp_8x5__epoch_2030__gcm_None
coastal,hazards/floodmaps/inuncoast_rcp8p5_wtsub_2030_rp0010_0.tif,10,8.5,2030,None,coastal__rp_10__rcp_8x5__epoch_2030__gcm_None
coastal,hazards/floodmaps/inuncoast_rcp8p5_wtsub_2030_rp0025_0.tif,25,8.5,2030,None,coastal__rp_25__rcp_8x5__epoch_2030__gcm_None
coastal,hazards/floodmaps/inuncoast_rcp8p5_wtsub_2030_rp0050_0.tif,50,8.5,2030,None,coastal__rp_50__rcp_8x5__epoch_2030__gcm_None
coastal,hazards/floodmaps/inuncoast_rcp8p5_wtsub_2030_rp0100_0.tif,100,8.5,2030,None,coastal__rp_100__rcp_8x5__epoch_2030__gcm_None
coastal,hazards/floodmaps/inuncoast_rcp8p5_wtsub_2030_rp0250_0.tif,250,8.5,2030,None,coastal__rp_250__rcp_8x5__epoch_2030__gcm_None
coastal,hazards/floodmaps/inuncoast_rcp8p5_wtsub_2030_rp0500_0.tif,500,8.5,2030,None,coastal__rp_500__rcp_8x5__epoch_2030__gcm_None
coastal,hazards/floodmaps/inuncoast_rcp8p5_wtsub_2030_rp1000_0.tif,1000,8.5,2030,None,coastal__rp_1000__rcp_8x5__epoch_2030__gcm_None
coastal,hazards/floodmaps/inuncoast_rcp8p5_wtsub_2050_rp0002_0.tif,2,8.5,2050,None,coastal__rp_2__rcp_8x5__epoch_2050__gcm_None
coastal,hazards/floodmaps/inuncoast_rcp8p5_wtsub_2050_rp0005_0.tif,5,8.5,2050,None,coastal__rp_5__rcp_8x5__epoch_2050__gcm_None
coastal,hazards/floodmaps/inuncoast_rcp8p5_wtsub_2050_rp0010_0.tif,10,8.5,2050,None,coastal__rp_10__rcp_8x5__epoch_2050__gcm_None
coastal,hazards/floodmaps/inuncoast_rcp8p5_wtsub_2050_rp0025_0.tif,25,8.5,2050,None,coastal__rp_25__rcp_8x5__epoch_2050__gcm_None
coastal,hazards/floodmaps/inuncoast_rcp8p5_wtsub_2050_rp0050_0.tif,50,8.5,2050,None,coastal__rp_50__rcp_8x5__epoch_2050__gcm_None
coastal,hazards/floodmaps/inuncoast_rcp8p5_wtsub_2050_rp0100_0.tif,100,8.5,2050,None,coastal__rp_100__rcp_8x5__epoch_2050__gcm_None
