hazard,filename,rp,rcp,epoch,gcm,key,url
coastal,inuncoast_rcp4p5_wtsub_2080_rp0250_0.tif,250,4.5,2080,None,inuncoast_rcp4p5_wtsub_2080_rp0250_0,http://wri-projects.s3.amazonaws.com/AqueductFloodTool/download/v2/inuncoast_rcp4p5_wtsub_2080_rp0250_0.tif
coastal,inuncoast_rcp4p5_wtsub_2080_rp0500_0.tif,500,4.5,2080,None,inuncoast_rcp4p5_wtsub_2080_rp0500_0,http://wri-projects.s3.amazonaws.com/AqueductFloodTool/download/v2/inuncoast_rcp4p5_wtsub_2080_rp0500_0.tif
coastal,inuncoast_rcp4p5_wtsub_2080_rp1000_0.tif,1000,4.5,2080,None,inuncoast_rcp4p5_wtsub_2080_rp1000_0,http://wri-projects.s3.amazonaws.com/AqueductFloodTool/download/v2/inuncoast_rcp4p5_wtsub_2080_rp1000_0.tif
coastal,inuncoast_rcp8p5_wtsub_2030_rp0001_5.tif,1,8.5,2030,None,inuncoast_rcp8p5_wtsub_2030_rp0001_5,http://wri-projects.s3.amazonaws.com/AqueductFloodTool/download/v2/inuncoast_rcp8p5_wtsub_2030_rp0001_5.tif
coastal,inuncoast_rcp8p5_wtsub_2030_rp0002_0.tif,2,8.5,2030,None,inuncoast_rcp8p5_wtsub_2030_rp0002_0,http://wri-projects.s3.amazonaws.com/AqueductFloodTool/download/v2/inuncoast_rcp8p5_wtsub_2030_rp0002_0.tif
coastal,inuncoast_rcp8p5_wtsub_2030_rp0005_0.tif,5,8.5,2030,None,inuncoast_rcp8p5_wtsub_2030_rp0005_0,http://wri-projects.s3.amazonaws.com/AqueductFloodTool/download/v2/inuncoast_rcp8p5_wtsub_2030_rp0005_0.tif
coastal,inuncoast_rcp8p5_wtsub_2030_rp0010_0.tif,10,8.5,2030,None,inuncoast_rcp8p5_wtsub_2030_rp0010_0,http://wri-projects.s3.amazonaws.com/AqueductFloodTool/download/v2/inuncoast_rcp8p5_wtsub_2030_rp0010_0.tif
coastal,inuncoast_rcp8p5_wtsub_2030_rp0025_0.tif,25,8.5,2030,None,inuncoast_rcp8p5_wtsub_2030_rp0025_0,http://wri-projects.s3.amazonaws.com/AqueductFloodTool/download/v2/inuncoast_rcp8p5_wtsub_2030_rp0025_0.tif
coastal,inuncoast_rcp8p5_wtsub_2030_rp0050_0.tif,50,8.5,2030,None,inuncoast_rcp8p5_wtsub_2030_rp0050_0,http://wri-projects.s3.amazonaws.com/AqueductFloodTool/download/v2/inuncoast_rcp8p5_wtsub_2030_rp0050_0.tif
coastal,inuncoast_rcp8p5_wtsub_2030_rp0100_0.tif,100,8.5,2030,None,inuncoast_rcp8p5_wtsub_2030_rp0100_0,http://wri-projects.s3.amazonaws.com/AqueductFloodTool/download/v2/inuncoast_rcp8p5_wtsub_2030_rp0100_0.tif
coastal,inuncoast_rcp8p5_wtsub_2030_rp0250_0.tif,250,8.5,2030,None,inuncoast_rcp8p5_wtsub_2030_rp0250_0,http://wri-projects.s3.amazonaws.com/AqueductFloodTool/download/v2/inuncoast_rcp8p5_wtsub_2030_rp0250_0.tif
coastal,inuncoast_rcp8p5_wtsub_2030_rp0500_0.tif,500,8.5,2030,None,inuncoast_rcp8p5_wtsub_2030_rp0500_0,http://wri-projects.s3.amazonaws.com/AqueductFloodTool/download/v2/inuncoast_rcp8p5_wtsub_2030_rp0500_0.tif
coastal,inuncoast_rcp8p5_wtsub_2030_rp1000_0.tif,1000,8.5,2030,None,inuncoast_rcp8p5_wtsub_2030_rp1000_0,http://wri-projects.s3.amazonaws.com/AqueductFloodTool/download/v2/inuncoast_rcp8p5_wtsub_2030_rp1000_0.tif
coastal,inuncoast_rcp8p5_wtsub_2050_rp0001_5.tif,1,8.5,2050,None,inuncoast_rcp8p5_wtsub_2050_rp0001_5,http://wri-projects.s3.amazonaws.com/AqueductFloodTool/download/v2/inuncoast_rcp8p5_wtsub_2050_rp0001_5.tif
coastal,inuncoast_rcp8p5_wtsub_2050_rp0002_0.tif,2,8.5,2050,None,inuncoast_rcp8p5_wtsub_2050_rp0002_0,http://wri-projects.s3.amazonaws.com/AqueductFloodTool/download/v2/inuncoast_rcp8p5_wtsub_2050_rp0002_0.tif
coastal,inuncoast_rcp8p5_wtsub_2050_rp0005_0.tif,5,8.5,2050,None,inuncoast_rcp8p5_wtsub_2050_rp0005_0,http://wri-projects.s3.amazonaws.com/AqueductFloodTool/download/v2/inuncoast_rcp8p5_wtsub_2050_rp0005_0.tif
coastal,inuncoast_rcp8p5_wtsub_2050_rp0010_0.tif,10,8.5,2050,None,inuncoast_rcp8p5_wtsub_2050_rp0010_0,http://wri-projects.s3.amazonaws.com/AqueductFloodTool/download/v2/inuncoast_rcp8p5_wtsub_2050_rp0010_0.tif
coastal,inuncoast_rcp8p5_wtsub_2050_rp0025_0.tif,25,8.5,2050,None,inuncoast_rcp8p5_wtsub_2050_rp0025_0,http://wri-projects.s3.amazonaws.com/AqueductFloodTool/download/v2/inuncoast_rcp8p5_wtsub_2050_rp0025_0.tif
coastal,inuncoast_rcp8p5_wtsub_2050_rp0050_0.tif,50,8.5,2050,None,inuncoast_rcp8p5_wtsub_2050_rp0050_0,http://wri-projects.s3.amazonaws.com/AqueductFloodTool/download/v2/inuncoast_rcp8p5_wtsub_2050_rp0050_0.tif
coastal,inuncoast_rcp8p5_wtsub_2050_rp0100_0.tif,100,8.5,2050,None,inuncoast_rcp8p5_wtsub_2050_rp0100_0,http://wri-projects.s3.amazonaws.com/AqueductFloodTool/download/v2/inuncoast_rcp8p5_wtsub_2050_rp0100_0.tif
coastal,inuncoast_rcp8p5_wtsub_2050_rp0250_0.tif,250,8.5,2050,None,inuncoast_rcp8p5_wtsub_2050_rp0250_0,http://wri-projects.s3.amazonaws.com/AqueductFloodTool/download/v2/inuncoast_rcp8p5_wtsub_2050_rp0250_0.tif
coastal,inuncoast_rcp8p5_wtsub_2050_rp0500_0.tif,500,8.5,2050,None,inuncoast_rcp8p5_wtsub_2050_rp0500_0,http://wri-projects.s3.amazonaws.com/AqueductFloodTool/download/v2/inuncoast_rcp8p5_wtsub_2050_rp0500_0.tif
coastal,inuncoast_rcp8p5_wtsub_2050_rp1000_0.tif,1000,8.5,2050,None,inuncoast_rcp8p5_wtsub_2050_rp1000_0,http://wri-projects.s3.amazonaws.com/AqueductFloodTool/download/v2/inuncoast_rcp8p5_wtsub_2050_rp1000_0.tif
coastal,inuncoast_rcp8p5_wtsub_2080_rp0001_5.tif,1,8.5,2080,None,inuncoast_rcp8p5_wtsub_2080_rp0001_5,http://wri-projects.s3.amazonaws.com/AqueductFloodTool/download/v2/inuncoast_rcp8p5_wtsub_2080_rp0001_5.tif
coastal,inuncoast_rcp8p5_wtsub_2080_rp0002_0.tif,2,8.5,2080,None,inuncoast_rcp8p5_wtsub_2080_rp0002_0,http://wri-projects.s3.amazonaws.com/AqueductFloodTool/download/v2/inuncoast_rcp8p5_wtsub_2080_rp0002_0.tif
coastal,inuncoast_rcp8p5_wtsub_2080_rp0005_0.tif,5,8.5,2080,None,inuncoast_rcp8p5_wtsub_2080_rp0005_0,http://wri-projects.s3.amazonaws.com/AqueductFloodTool/download/v2/inuncoast_rcp8p5_wtsub_2080_rp0005_0.tif
coastal,inuncoast_rcp8p5_wtsub_2080_rp0010_0.tif,10,8.5,2080,None,inuncoast_rcp8p5_wtsub_2080_rp0010_0,http://wri-projects.s3.amazonaws.com/AqueductFloodTool/download/v2/inuncoast_rcp8p5_wtsub_2080_rp0010_0.tif
