metric,filename,var
relative,CDD_relative_mean_change_from_15_to_20.tif,CDD_relative_mean_change_from_15_to_20
absolute,CDD_absolute_mean_change_from_15_to_20.tif,CDD_absolute_mean_change_from_15_to_20
